block_code,house_number,payment_date,gross_amount,note
A,02,2026-01-01,100000,Imported laporan 2026
A,02,2026-02-01,120000,Imported laporan 2026
A,02,2026-03-01,120000,Imported laporan 2026
A,02,2026-04-01,120000,Imported laporan 2026
A,02,2026-05-01,120000,Imported laporan 2026
A,02,2026-06-01,120000,Imported laporan 2026
A,06,2026-01-01,1100000,Imported laporan 2026 (Jan year package)
A,08,2026-01-01,1100000,Imported laporan 2026 (Jan year package)
A,12,2026-01-01,1100000,Imported laporan 2026 (Jan year package)
A,16,2026-01-01,1000000,Imported laporan 2026 (Jan staff year)
A,18,2026-01-01,550000,Imported laporan 2026 (Jan 6-month prepay)
A,20,2026-01-01,100000,Imported laporan 2026
A,20,2026-02-01,120000,Imported laporan 2026
A,20,2026-03-01,120000,Imported laporan 2026
A,20,2026-04-01,120000,Imported laporan 2026
A,20,2026-05-01,120000,Imported laporan 2026
A,20,2026-06-01,120000,Imported laporan 2026
A,22,2026-01-01,1320000,Imported laporan 2026 (Jan year package +220000 deposit)
A,26,2026-01-01,100000,Imported laporan 2026
A,26,2026-02-01,120000,Imported laporan 2026
A,26,2026-03-01,120000,Imported laporan 2026
A,26,2026-04-01,120000,Imported laporan 2026
A,26,2026-05-01,120000,Imported laporan 2026
A,26,2026-06-01,120000,Imported laporan 2026
A,26,2026-07-01,120000,Imported laporan 2026
B,01,2026-01-01,1100000,Imported laporan 2026 (Jan year package)
B,02,2026-01-01,1100000,Imported laporan 2026 (Jan year package)
B,03,2026-01-01,1300000,Imported laporan 2026 (Jan year package +200000 deposit)
B,05,2026-01-01,1000000,Imported laporan 2026 (Jan staff year)
B,06,2026-01-01,550000,Imported laporan 2026 (Jan 6-month prepay)
B,07,2026-01-01,1000000,Imported laporan 2026 (Jan staff year)
B,08,2026-01-01,100000,Imported laporan 2026
B,08,2026-02-01,120000,Imported laporan 2026
B,08,2026-03-01,120000,Imported laporan 2026
B,09,2026-01-01,100000,Imported laporan 2026
B,09,2026-02-01,120000,Imported laporan 2026
B,09,2026-03-01,120000,Imported laporan 2026
B,09,2026-04-01,120000,Imported laporan 2026
B,09,2026-05-01,120000,Imported laporan 2026
B,09,2026-06-01,120000,Imported laporan 2026
B,10,2026-01-01,100000,Imported laporan 2026
B,10,2026-02-01,120000,Imported laporan 2026
B,10,2026-03-01,120000,Imported laporan 2026
B,10,2026-04-01,120000,Imported laporan 2026
B,10,2026-05-01,120000,Imported laporan 2026
B,11,2026-01-01,100000,Imported laporan 2026
B,11,2026-02-01,120000,Imported laporan 2026
B,11,2026-03-01,120000,Imported laporan 2026
B,11,2026-04-01,120000,Imported laporan 2026
B,11,2026-05-01,120000,Imported laporan 2026
B,15,2026-01-01,100000,Imported laporan 2026
B,15,2026-02-01,120000,Imported laporan 2026
B,15,2026-03-01,120000,Imported laporan 2026
B,15,2026-04-01,120000,Imported laporan 2026
B,15,2026-05-01,120000,Imported laporan 2026
B,18,2026-01-01,1260000,Imported laporan 2026 (Jan year package +160000 deposit)
B,19,2026-01-01,100000,Imported laporan 2026
B,19,2026-02-01,120000,Imported laporan 2026
B,19,2026-03-01,120000,Imported laporan 2026
B,19,2026-04-01,120000,Imported laporan 2026
B,19,2026-05-01,120000,Imported laporan 2026
B,20,2026-01-01,100000,Imported laporan 2026
B,20,2026-02-01,120000,Imported laporan 2026
B,20,2026-03-01,120000,Imported laporan 2026
B,20,2026-04-01,120000,Imported laporan 2026
